,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
87826,86626,2002,NC0110700,University of North Carolina:,Asheville,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",06-OCT-02,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Gay (Male),Individual,S,S
87827,86627,2002,NC0120100,Morganton,,City,NC,North Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",27-DEC-02,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
87828,86628,2002,NC0190000,Chatham,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",16-MAY-02,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Society/Public,S,S
87829,86629,2002,NC0190100,Siler City,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",19-JUL-02,,,0,,,Unknown,,3,Destruction/Damage/Vandalism of Property,0.0,Parking/Drop Lot/Garage,Anti-American Indian or Alaska Native,Business,S,S
87830,86630,2002,NC0240300,Fair Bluff,,City,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",14-AUG-02,,,3,,,Black or African American,,3,Robbery,0.0,Bank/Savings and Loan,Anti-Black or African American,Business,S,S
87831,86631,2002,NC0260100,Fayetteville,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",23-SEP-02,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
87832,86632,2002,NC0260300,Spring Lake,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",24-MAR-02,,,1,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,0.0,Restaurant,Anti-Hispanic or Latino,Business,S,S
87833,86633,2002,NC0290200,Thomasville,,City,NC,North Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",17-JAN-02,,,1,,,Unknown,,1,Burglary/Breaking & Entering,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
87834,86634,2002,NC0330100,Rocky Mount,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",04-AUG-02,,,1,,,White,,1,Simple Assault,1.0,Restaurant,Anti-Islamic (Muslim),Individual,S,S
87835,86635,2002,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",27-JUL-02,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Society/Public,S,S
87836,86636,2002,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",24-MAY-02,,,4,,,White,,2,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Government;Individual,M,S
87837,86637,2002,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",07-JUL-02,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
87838,86638,2002,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",10-OCT-02,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
87839,86639,2002,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",13-JAN-02,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
87840,86640,2002,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",20-MAY-02,,,0,,,Unknown,,2,Intimidation,2.0,Highway/Road/Alley/Street/Sidewalk,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
87841,86641,2002,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",28-JUN-02,,,1,,,White,,1,Intimidation,1.0,Convenience Store,Anti-Gay (Male),Individual,S,S
87842,86642,2002,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",28-JUL-02,,,1,,,Black or African American,,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
87843,86643,2002,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",29-JUL-02,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Construction Site,Anti-Black or African American,Individual,S,S
87844,86644,2002,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",10-NOV-02,,,2,,,Black or African American,,1,Simple Assault,1.0,Field/Woods,Anti-White,Individual,S,S
87845,86645,2002,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",01-DEC-02,,,1,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
87846,86646,2002,NC0410300,High Point,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",09-NOV-02,,,1,,,Black or African American,,1,Burglary/Breaking & Entering,1.0,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
87847,86665,2002,NC0420200,Roanoke Rapids,,City,NC,North Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",20-JUL-02,,,5,,,White,,3,Destruction/Damage/Vandalism of Property;Simple Assault,2.0,Residence/Home,Anti-Black or African American,Individual,M,S
87848,86666,2002,NC0420200,Roanoke Rapids,,City,NC,North Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",24-AUG-02,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
87849,86667,2002,NC0430000,Harnett,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",01-SEP-02,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
87850,86668,2002,NC0490000,Iredell,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",23-AUG-02,,,5,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
87851,86669,2002,NC0510000,Johnston,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",09-AUG-02,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization,S,S
87852,86670,2002,NC0510000,Johnston,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",16-OCT-02,,,1,,,Unknown,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
87853,86671,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",20-JAN-02,,,2,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
87854,86672,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",29-JAN-02,,,2,,,Black or African American,,1,Intimidation,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
87855,86673,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",10-MAR-02,,,1,,,White,,1,Simple Assault,1.0,Restaurant,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
87856,86674,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",05-MAY-02,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
87857,86675,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",28-MAY-02,,,4,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
87858,86676,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",07-JUN-02,,,6,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
87859,86677,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",13-JUL-02,,,1,,,White,,1,Not Specified,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
87860,86678,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",16-JUL-02,,,1,,,White,,1,Not Specified,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
87861,86679,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",17-JUL-02,,,1,,,White,,1,Not Specified,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
87862,86680,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",16-AUG-02,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
87863,86681,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",16-AUG-02,,,0,,,Unknown,,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
87864,86682,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",16-DEC-02,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
87865,86683,2002,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",16-DEC-02,,,1,,,White,,3,Destruction/Damage/Vandalism of Property;Intimidation,3.0,Residence/Home,"Anti-Multiple Races, Group",Individual,M,S
87866,86684,2002,NC0650200,Wilmington,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",13-JAN-02,,,4,,,Black or African American,,1,Robbery,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
87867,86685,2002,NC0650200,Wilmington,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",13-JAN-02,,,1,,,White,,3,Destruction/Damage/Vandalism of Property,3.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
87868,86686,2002,NC0670300,Richlands,,City,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",22-JAN-02,,,1,,,Black or African American,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
87869,86687,2002,NC0670300,Richlands,,City,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",21-AUG-02,,,1,,,Black or African American,,1,Burglary/Breaking & Entering,1.0,Residence/Home,Anti-White,Individual,S,S
87870,86688,2002,NC0670300,Richlands,,City,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",15-OCT-02,,,1,,,Unknown,,1,Burglary/Breaking & Entering,0.0,Commercial/Office Building,Anti-White,Business,S,S
87871,86689,2002,NC0670300,Richlands,,City,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",06-NOV-02,,,1,,,Unknown,,1,Burglary/Breaking & Entering,0.0,Commercial/Office Building,Anti-White,Business,S,S
87872,86690,2002,NC0680400,University of North Carolina:,Chapel Hill,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",06-JUN-02,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Business,S,S
87873,86691,2002,NC0790000,Rockingham,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",20-JAN-02,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
87874,86692,2002,NC0790500,Reidsville,,City,NC,North Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",18-MAR-02,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
87875,86693,2002,NC0800000,Rowan,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",24-MAR-02,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Government,S,S
87876,86694,2002,NC0810100,Forest City,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",22-MAY-02,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
87877,86695,2002,NC0850300,King,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",18-APR-02,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
87878,86696,2002,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",18-MAR-02,,,0,,,Unknown,,1,Intimidation,1.0,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
87879,86697,2002,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",28-MAY-02,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
87880,86698,2002,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",23-JUN-02,,,2,,,Black or African American,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
87881,86699,2002,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",05-JUN-02,,,4,,,White,,2,Intimidation,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
87882,86700,2002,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",26-JUL-02,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Government;Individual,M,S
87883,86701,2002,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",22-AUG-02,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
87884,86702,2002,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",07-OCT-02,,,1,,,White,,1,Simple Assault,1.0,Air/Bus/Train Terminal,Anti-Black or African American,Individual,S,S
87885,86703,2002,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",31-DEC-02,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
87886,86704,2002,NC0921600,North Carolina State University,Raleigh,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",15-NOV-02,,,1,,,Black or African American,,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
87887,86705,2002,NC0980100,Wilson,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",07-MAR-02,,,5,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
95324,94255,2003,NC0130200,Kannapolis,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",10-AUG-03,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
95325,94256,2003,NC0160200,Morehead City,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",28-JUN-03,,,5,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
95326,94257,2003,NC0160200,Morehead City,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",25-JUN-03,,,1,,,Black or African American,,1,Murder and Nonnegligent Manslaughter,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
95327,94258,2003,NC0180400,Newton,,City,NC,North Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",21-JUN-03,,,2,,,White,,1,Aggravated Assault,1.0,Other/Unknown,Anti-Hispanic or Latino,Individual,S,S
95328,94259,2003,NC0270000,Currituck,,County,NC,North Carolina,South Atlantic,South,9C,"MSA counties from 10,000 thru 24,999",12-NOV-03,,,1,,,White,,2,Intimidation,2.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
95329,94260,2003,NC0320200,North Carolina Central University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",29-SEP-03,,,3,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Lesbian (Female),Individual,S,S
95330,94261,2003,NC0340300,Winston-Salem State University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",28-MAR-03,,,0,,,Unknown,,1,Arson,1.0,School/College,Anti-Gay (Male),Individual,S,S
95331,94262,2003,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",23-APR-03,,,1,,,White,,1,Aggravated Assault,1.0,Lake/Waterway/Beach,Anti-Hispanic or Latino,Individual,S,S
95332,94263,2003,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",07-FEB-03,,,1,,,White,,4,Intimidation,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
95333,94264,2003,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",28-MAR-03,,,1,,,White,,1,Simple Assault,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
95334,94265,2003,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",06-MAY-03,,,2,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
95335,94266,2003,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",05-JUL-03,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
95336,94267,2003,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",26-JUL-03,,,1,,,Black or African American,,1,Burglary/Breaking & Entering,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
95337,94268,2003,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",26-JUL-03,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
95338,94269,2003,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",18-DEC-03,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
95339,94270,2003,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",19-DEC-03,,,2,,,Black or African American,,2,Destruction/Damage/Vandalism of Property;Simple Assault,1.0,Residence/Home,Anti-White,Individual,M,S
95340,94271,2003,NC0390200,Butner,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",06-MAY-03,,,1,,,White,,1,Intimidation,1.0,Drug Store/Doctor's Office/Hospital,Anti-Black or African American,Individual,S,S
95341,94272,2003,NC0390200,Butner,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",12-MAY-03,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Government,S,S
95342,94273,2003,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",07-FEB-03,,,1,,,White,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,M,S
95343,94274,2003,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",02-MAR-03,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
95344,94275,2003,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",07-MAR-03,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
95345,94276,2003,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",11-MAR-03,,,1,,,Black or African American,,1,Simple Assault,1.0,Jail/Prison/Penitentiary/Corrections Facility,Anti-Gay (Male),Individual,S,S
95346,94277,2003,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",23-JUN-03,,,7,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
95347,94278,2003,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",14-AUG-03,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
95348,94279,2003,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",21-SEP-03,,,4,,,Multiple,,1,Simple Assault,1.0,School/College,Anti-White,Individual,S,S
95349,94280,2003,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",02-NOV-03,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
95350,94281,2003,NC0410300,High Point,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",19-APR-03,,,2,,,White,,1,Murder and Nonnegligent Manslaughter,1.0,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
95351,94282,2003,NC0410300,High Point,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",26-JUN-03,,,1,,,White,,1,Arson,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
95352,94283,2003,NC0410300,High Point,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",03-DEC-03,,,2,,,White,,2,Simple Assault,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
95353,94284,2003,NC0410500,University of North Carolina:,Greensboro,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",03-OCT-03,,,1,,,White,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,School/College,Anti-Gay (Male),Individual,M,S
95354,94295,2003,NC0490000,Iredell,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",29-APR-03,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
95355,94296,2003,NC0490000,Iredell,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",09-AUG-03,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
95356,94297,2003,NC0490000,Iredell,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",17-NOV-03,,,1,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
95357,94298,2003,NC0490200,Statesville,,City,NC,North Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",13-APR-03,,,3,,,White,,10,Aggravated Assault,10.0,Bar/Nightclub,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
95358,94299,2003,NC0560000,McDowell,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",15-APR-03,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
95359,94300,2003,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",11-JAN-03,,,1,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
95360,94301,2003,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",04-FEB-03,,,1,,,Black or African American,,1,Intimidation,1.0,Bank/Savings and Loan,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
95361,94302,2003,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",05-MAR-03,,,1,,,White,,4,Intimidation,4.0,Specialty Store,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
95362,94303,2003,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",08-APR-03,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
95363,94304,2003,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",28-APR-03,,,1,,,White,,1,Intimidation,1.0,Restaurant,Anti-Black or African American,Individual,S,S
95364,94305,2003,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",20-MAY-03,,,2,,,Black or African American,,1,Simple Assault,1.0,School/College,Anti-Hispanic or Latino,Individual,S,S
95365,94306,2003,NC0600100,Charlotte-Mecklenburg,,City,NC,North Carolina,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",04-AUG-03,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
